Wall time,Step,Value
1607266558.1172116,5,200.0
1607266847.754571,18,200.0
1607266941.844127,24,200.0
1607267242.4113677,40,18.0
1607267264.510589,42,200.0
1607267369.0618129,45,200.0
1607267388.0666418,47,200.0
1607267516.7839155,53,200.0
1607267529.8868358,56,20.0
1607267586.9760134,71,23.0
1607267590.480719,74,18.0
1607267634.3125093,94,27.0
1607267653.191136,102,49.0
1607267722.482102,105,73.0
1607267723.8120768,106,24.0
1607267833.2388592,113,28.0
1607267861.9598448,126,54.0
1607267880.0566943,139,22.0
1607267906.8449154,150,20.0
1607267913.1053681,155,19.0
1607267916.8313646,158,26.0
1607267927.5688348,167,20.0
1607267928.7648323,168,21.0
1607267969.4732037,178,24.0
1607267974.6609297,183,19.0
1607267976.8239963,185,20.0
1607267977.9084787,186,19.0
1607267982.1232185,190,19.0
1607267990.2119884,198,20.0
1607268008.3635252,206,17.0
1607268011.415301,207,55.0
1607268034.1421614,212,22.0
1607268045.6455643,223,19.0
1607268072.1408906,229,17.0
1607268083.7778425,234,20.0
1607268086.7982402,237,16.0
1607268107.6120825,249,18.0
1607268129.8507893,255,17.0
1607268134.7128794,260,19.0
1607268148.433066,267,18.0
1607268152.305079,271,18.0
1607268154.3002017,273,18.0
1607268173.865732,292,18.0
1607268178.689731,297,19.0
1607268179.7717319,298,19.0
1607268184.4401035,303,18.0
1607268189.3420846,308,17.0
1607268195.3561754,310,92.0
1607268209.6349306,318,16.0
1607268210.5964804,319,17.0
1607268221.8718655,330,17.0
1607268230.7738113,339,19.0
1607268238.4233685,347,19.0
1607268254.5736566,363,16.0
1607268258.7915866,367,17.0
1607268274.714155,377,22.0
1607268336.5568218,421,16.0
1607268337.4851024,422,16.0
1607268344.8488245,430,16.0
1607268366.9346862,439,17.0
1607268368.7576854,441,16.0
1607268369.650421,442,16.0
1607268372.3879817,445,17.0
1607268377.9189157,451,17.0
1607268386.2125878,460,17.0
1607268394.9783838,463,17.0
1607268395.9492412,464,17.0
1607268405.177518,474,16.0
1607268420.66873,491,18.0
1607268422.681828,493,18.0
1607268435.3534136,507,16.0
1607268439.9916987,512,16.0
1607268441.7773523,514,16.0
1607268444.5293465,517,16.0
1607268458.2487144,525,16.0
1607268463.9984615,531,17.0
1607268466.0328124,533,20.0
1607268468.8736064,536,17.0
1607268474.406955,542,16.0
1607268479.0116758,547,17.0
1607268488.1079378,557,16.0
1607268493.6563115,563,16.0
1607268499.2684405,569,16.0
1607268502.9731085,573,17.0
1607268508.5247107,579,17.0
1607268510.3708823,581,16.0
1607268519.1196437,584,17.0
1607268520.9654503,586,16.0
1607268521.912451,587,17.0
1607268526.6822617,592,17.0
1607268527.6285994,593,17.0
1607268536.3184948,602,17.0
1607268543.8446949,610,17.0
1607268548.516567,615,16.0
1607268553.1516945,620,16.0
1607268555.0482473,622,17.0
1607268569.0110013,634,17.0
1607268581.8761861,641,17.0
1607268582.816164,642,17.0
1607268584.768447,644,18.0
1607268586.785839,646,16.0
1607268587.7571158,647,17.0
1607268589.7051518,649,18.0
1607268601.3782961,661,19.0
1607268604.05721,664,16.0
1607268607.775119,668,17.0
1607268610.651737,671,17.0
1607268613.356753,674,16.0
1607268617.4600434,678,21.0
1607268618.489269,679,18.0
1607268622.305474,683,17.0
1607268627.0461845,688,17.0
1607268645.1792085,699,16.0
1607268651.8009813,706,16.0
1607268659.204974,714,16.0
1607268662.9706855,718,16.0
1607268665.708569,721,16.0
1607268666.6022675,722,16.0
1607268667.4982355,723,16.0
1607268674.042073,730,17.0
