Wall time,Step,Value
1607281039.407298,5,200.0
1607281291.6978533,15,200.0
1607281324.4496315,18,200.0
1607281460.844523,24,200.0
1607281828.6740024,40,200.0
1607281936.2555044,42,200.0
1607281958.0234337,44,200.0
1607281968.8739636,45,200.0
1607282061.2323232,47,200.0
1607282100.5920327,53,64.0
1607282200.7682061,56,200.0
1607282325.485688,65,25.0
1607282431.1163666,71,38.0
1607282442.0892694,72,200.0
1607282445.353049,73,60.0
1607282456.275413,74,200.0
1607282495.9959662,79,34.0
1607282635.62097,87,55.0
1607282750.4297976,94,28.0
1607282776.7413146,102,35.0
1607282882.7999058,105,200.0
1607282885.2360299,106,44.0
1607282981.3037245,113,57.0
1607282995.2261753,118,44.0
1607283032.6342952,126,67.0
1607283128.19529,130,200.0
1607283195.0500002,139,200.0
1607283200.504145,142,37.0
1607283271.9298358,150,41.0
1607283296.9685848,155,29.0
1607283315.8851087,158,161.0
1607283368.976948,167,200.0
1607283370.7581317,168,31.0
1607283451.7119012,177,24.0
1607283453.71613,178,33.0
1607283487.7344484,183,200.0
1607283534.9307382,185,200.0
1607283536.857935,186,32.0
1607283549.484268,190,34.0
1607283579.972809,198,85.0
1607283619.2328095,206,200.0
1607283621.273847,207,37.0
1607283622.9180446,208,30.0
1607283648.208036,212,81.0
1607283706.3281262,223,25.0
1607283721.7318354,229,160.0
1607283729.3839493,234,27.0
1607283733.333472,237,21.0
1607283801.1646917,249,23.0
1607283823.1939414,255,33.0
1607283841.7511618,260,23.0
1607283853.6672971,263,25.0
1607283886.131442,267,200.0
1607283905.2642574,271,33.0
1607283914.030474,273,101.0
1607283971.0190942,292,40.0
1607283978.6283386,297,32.0
1607283980.1038842,298,27.0
1607283987.737718,303,33.0
1607283994.2822952,307,24.0
1607283995.5896811,308,24.0
1607283998.7525992,310,32.0
1607284023.3619492,318,34.0
1607284025.1809833,319,33.0
1607284035.5611935,325,55.0
1607284037.0941777,326,28.0
1607284038.402223,327,24.0
1607284044.2897027,330,27.0
1607284057.5165842,339,26.0
1607284081.762727,347,29.0
1607284108.0522585,363,29.0
1607284116.8530264,367,28.0
1607284127.9886725,373,36.0
1607284157.3645926,377,31.0
1607284160.9659965,379,36.0
1607284183.7434657,391,26.0
1607284185.6370425,392,32.0
1607284286.3867576,408,32.0
1607284317.2880366,421,101.0
1607284319.936086,422,48.0
1607284323.4341924,424,37.0
1607284333.1071675,430,29.0
1607284361.5530996,439,27.0
1607284364.4901922,441,26.0
1607284366.0162215,442,28.0
1607284370.03538,445,25.0
1607284379.2006998,451,23.0
1607284392.5454013,460,26.0
1607284396.904907,463,23.0
1607284398.4540777,464,28.0
1607284423.2104754,473,20.0
1607284424.5814588,474,25.0
1607284449.2415423,489,31.0
1607284452.5587983,491,27.0
1607284455.6648564,493,30.0
1607284486.4948347,507,19.0
1607284493.4629347,512,23.0
1607284496.356034,514,29.0
1607284500.4211323,517,26.0
1607284512.2965841,525,28.0
1607284521.2974336,531,24.0
1607284523.5934725,533,18.0
1607284527.7083344,536,24.0
1607284545.2715492,542,34.0
1607284552.7466779,547,22.0
1607284565.7668478,557,24.0
1607284568.1239004,559,21.0
