Wall time,Step,Value
1607196208.8844943,5,200.0
1607196219.8775125,6,200.0
1607196341.0408924,11,88.0
1607196369.317181,14,200.0
1607196372.8381195,15,64.0
1607196452.8435361,18,200.0
1607196463.9060154,19,200.0
1607196474.949999,20,200.0
1607196540.7575827,24,120.0
1607196792.5319803,36,63.0
1607196896.2455208,40,172.0
1607196908.494752,42,155.0
1607196922.3522108,44,200.0
1607196925.8488832,45,63.0
1607196933.4738314,47,43.0
1607197023.4861882,53,41.0
1607197025.6119635,54,39.0
1607197027.7532055,55,39.0
1607197029.9257097,56,40.0
1607197032.1581645,57,40.0
1607197050.637287,65,43.0
1607197058.6812632,68,47.0
1607197075.2680197,71,46.0
1607197152.1166377,72,83.0
1607197154.345987,73,40.0
1607197156.3364418,74,36.0
1607197170.8010085,79,94.0
1607197187.3180332,87,40.0
1607197189.0330386,88,31.0
1607197229.9382248,94,136.0
1607197250.0143943,102,38.0
1607197255.7726521,105,33.0
1607197257.4781685,106,31.0
1607197279.0403085,113,33.0
1607197350.0068069,116,33.0
1607197354.3575752,118,47.0
1607197367.5993543,125,32.0
1607197370.0806355,126,46.0
1607197375.8304415,129,34.0
1607197377.7073238,130,34.0
1607197397.1987832,139,31.0
1607197414.2102237,141,36.0
1607197416.0506737,142,34.0
1607197417.9392047,143,34.0
1607197431.4545455,150,37.0
1607197440.7064476,155,36.0
1607197444.4196594,157,29.0
1607197447.0657346,158,47.0
1607197454.0638108,162,31.0
1607197463.4337974,167,33.0
1607197465.31141,168,34.0
1607197482.1732264,171,33.0
1607197492.5362222,177,31.0
1607197494.2792947,178,32.0
1607197498.0284593,180,33.0
1607197503.2797482,183,34.0
1607197506.5744283,185,31.0
1607197508.3769984,186,33.0
1607197511.9165294,188,32.0
1607197515.3116987,190,32.0
1607197526.171248,191,200.0
1607197563.407483,198,30.0
1607197582.5288017,206,31.0
1607197586.2194958,207,66.0
1607197587.9970324,208,32.0
1607197597.4836068,212,46.0
1607197644.3472147,222,35.0
1607197646.1998177,223,34.0
1607197650.7034764,225,38.0
1607197657.766337,229,34.0
1607197670.51215,232,35.0
1607197672.394104,233,34.0
1607197674.1396623,234,32.0
1607197681.8450477,237,31.0
1607197736.5852299,249,50.0
1607197748.3702314,255,33.0
1607197754.3543923,258,31.0
1607197758.0369709,260,33.0
1607197759.8370965,261,33.0
1607197763.4477494,263,31.0
1607197771.0815349,267,36.0
1607197792.797725,271,32.0
1607197797.0981643,273,32.0
1607197807.1453938,278,30.0
1607197856.5707867,292,39.0
1607197865.1488187,297,32.0
1607197868.4267843,298,60.0
1607197876.703875,302,46.0
1607197878.404694,303,31.0
1607197885.49751,307,35.0
1607197896.5038579,308,200.0
1607197900.3834102,310,35.0
1607197905.708006,313,34.0
1607197939.831957,318,34.0
1607197941.569984,319,32.0
1607197943.3371933,320,32.0
1607197953.671229,325,34.0
1607197956.5223982,326,52.0
1607197958.2864401,327,32.0
1607197963.7585766,330,31.0
1607197980.2382038,339,41.0
1607197983.7446456,341,31.0
1607198022.0117521,347,32.0
1607198032.8931835,353,32.0
1607198034.9369705,354,37.0
1607198045.6973252,360,37.0
1607198050.8563707,363,30.0
1607198057.9270175,367,31.0
1607198064.5492244,371,31.0
1607198067.9534607,373,30.0
1607198086.4033,377,31.0
1607198088.155855,378,32.0
1607198089.7945094,379,30.0
1607198093.300593,381,32.0
1607198101.8039386,386,31.0
1607198110.3661053,391,32.0
1607198112.267215,392,35.0
1607198114.0086713,393,32.0
1607198151.2835386,408,32.0
1607198163.7788424,415,31.0
1607198174.5403328,421,31.0
1607198176.2836642,422,32.0
1607198180.4070742,424,40.0
1607198184.006913,426,35.0
1607198190.7099488,430,30.0
1607198226.8157039,439,31.0
1607198230.2304955,441,31.0
1607198232.0162218,442,32.0
1607198238.004123,445,29.0
1607198249.3236144,451,32.0
1607198263.3301737,459,38.0
1607198265.0341434,460,31.0
1607198281.004624,463,34.0
1607198282.6489577,464,30.0
1607198297.7439055,473,30.0
1607198299.2713356,474,28.0
1607198327.8573332,485,32.0
1607198332.8481314,488,31.0
1607198334.5110373,489,30.0
1607198348.4648643,491,33.0
1607198351.839825,493,32.0
1607198376.1809347,507,29.0
1607198384.355277,512,31.0
1607198387.66749,514,30.0
1607198392.7927046,517,30.0
1607198396.2378683,519,33.0
1607198424.5177794,524,30.0
1607198426.1581795,525,30.0
1607198436.8240254,531,36.0
1607198440.4395545,533,32.0
1607198442.187378,534,31.0
