Wall time,Step,Value
1607259677.9506967,5,200.0
1607259961.3341854,18,200.0
1607260097.246727,24,200.0
1607260542.5170858,40,200.0
1607260556.641166,42,60.0
1607260583.6271322,45,97.0
1607260661.4586046,47,79.0
1607260691.9813075,53,59.0
1607260696.7456064,56,27.0
1607260893.798239,71,200.0
1607260997.2260685,74,200.0
1607261143.769127,94,27.0
1607261153.938001,102,24.0
1607261158.1160362,105,27.0
1607261159.3843591,106,23.0
1607261178.2723725,113,25.0
1607261205.5713723,126,29.0
1607261242.4119859,139,21.0
1607261264.4834762,150,23.0
1607261269.8831744,155,19.0
1607261273.313351,158,21.0
1607261283.6747475,167,21.0
1607261284.7527552,168,20.0
1607261304.028481,178,18.0
1607261309.4265263,183,18.0
1607261311.5685527,185,21.0
1607261312.7525265,186,22.0
1607261317.0145266,190,20.0
1607261325.7517307,198,22.0
1607261334.427167,206,20.0
1607261335.6781929,207,23.0
1607261340.9314814,212,20.0
1607261381.5737422,223,17.0
1607261387.9712105,229,20.0
1607261392.9286132,234,18.0
1607261395.7890668,237,18.0
1607261407.2497804,249,18.0
1607261413.0992873,255,20.0
1607261424.6100574,260,18.0
1607261435.0226307,267,17.0
1607261438.9003797,271,19.0
1607261440.8502152,273,18.0
1607261472.8812768,292,18.0
1607261489.7466002,297,17.0
1607261490.9346025,298,22.0
1607261497.3096006,303,37.0
1607261502.3237853,308,18.0
1607261504.960915,310,19.0
1607261522.5756547,318,17.0
1607261525.4688482,319,53.0
1607261551.232592,330,17.0
1607261560.2312307,339,19.0
1607261574.6939332,347,18.0
1607261595.051293,363,18.0
1607261605.5600233,367,17.0
1607261614.9766169,377,17.0
1607261616.773616,379,17.0
1607261655.9950147,421,18.0
1607261656.8539886,422,16.0
1607261671.8449814,430,51.0
1607261680.0615327,439,17.0
1607261681.8434908,441,16.0
1607261682.7714908,442,17.0
1607261685.5220637,445,17.0
1607261696.7825708,451,17.0
1607261707.4233615,460,16.0
1607261710.2293296,463,17.0
1607261711.1513526,464,17.0
1607261754.8020976,474,17.0
1607261772.8504555,491,17.0
1607261774.6289084,493,17.0
1607261786.9458146,507,16.0
1607261796.5078793,512,54.0
1607261798.3323884,514,16.0
1607261801.0848386,517,18.0
1607261813.7531085,525,18.0
1607261819.426709,531,17.0
1607261821.2082708,533,16.0
1607261823.8648262,536,17.0
1607261831.6274922,542,16.0
1607261835.9614913,547,16.0
1607261846.4072742,557,51.0
1607261851.5748703,563,16.0
1607261856.5934072,569,15.0
1607261860.0673802,573,16.0
1607261870.8593097,579,16.0
1607261872.5848193,581,16.0
1607261875.1378422,584,16.0
1607261876.9178443,586,17.0
1607261878.6978421,587,33.0
1607261884.561554,592,20.0
1607261885.4955528,593,17.0
1607261893.031871,602,16.0
1607261899.8785293,610,16.0
1607261904.1375287,615,16.0
1607261910.541253,620,18.0
1607261914.160332,622,49.0
1607261931.1304178,634,16.0
1607261937.5063343,641,17.0
1607261938.3713338,642,16.0
1607261940.116344,644,17.0
1607261941.8796222,646,15.0
1607261942.7368777,647,16.0
1607261944.359877,649,15.0
1607261955.034278,661,15.0
1607261957.7618759,664,16.0
1607261961.3289378,668,16.0
1607261963.922309,671,18.0
1607261966.6906555,674,18.0
1607261970.2681847,678,17.0
1607261971.1571467,679,16.0
1607261974.56272,683,15.0
1607261979.0146897,688,15.0
1607261996.6677775,699,17.0
1607262003.1346297,706,18.0
1607262010.3835692,714,16.0
1607262013.9729474,718,16.0
1607262016.8407784,721,19.0
1607262017.703692,722,16.0
1607262018.574722,723,16.0
1607262024.8852425,730,16.0
1607262030.16908,736,16.0
1607262031.9384954,738,16.0
1607262032.8585293,739,17.0
1607262036.5394957,743,18.0
1607262040.0404003,747,16.0
1607262043.5880952,751,16.0
1607262044.446605,752,16.0
1607262053.3314545,756,15.0
1607262061.1591132,765,16.0
1607262064.6081123,769,16.0
1607262065.4311128,770,15.0
1607262066.3011127,771,16.0
1607262067.9741127,773,15.0
1607262068.838191,774,16.0
1607262073.938115,780,16.0
1607262077.6859202,784,18.0
1607262078.5519202,785,16.0
1607262080.2219195,787,16.0
1607262081.9182875,789,16.0
1607262084.517664,792,16.0
1607262085.321664,793,15.0
1607262086.1786907,794,16.0
1607262089.5872104,798,16.0
1607262093.004681,802,16.0
1607262097.17601,807,16.0
1607262097.989009,808,15.0
1607262098.8490105,809,16.0
1607262123.7002122,832,15.0
1607262127.1062524,836,15.0
1607262128.7317033,838,15.0
1607262132.927072,843,16.0
1607262153.285437,867,16.0
1607262154.9581835,869,15.0
1607262159.1442287,874,16.0
1607262160.818718,876,15.0
1607262169.599994,880,15.0
1607262171.330646,882,17.0
1607262177.9988022,890,15.0
1607262182.9228616,896,15.0
1607262186.3364816,900,16.0
1607262192.2304811,907,15.0
1607262193.8814816,909,15.0
1607262198.9198554,915,16.0
1607262200.7078547,917,17.0
1607262203.2548895,920,16.0
1607262205.8500798,923,16.0
1607262212.6654987,931,16.0
1607262213.4674985,932,15.0
