Wall time,Step,Value
1607203449.25746,5,200.0
1607203460.2170155,6,200.0
1607203582.0228987,11,122.0
1607203609.3566337,14,200.0
1607203670.1208808,15,200.0
1607203688.7261071,18,74.0
1607203699.7040942,19,200.0
1607203710.723901,20,200.0
1607203811.3571236,24,200.0
1607203974.0909746,36,53.0
1607204010.9305816,40,54.0
1607204015.96071,42,44.0
1607204021.0556567,44,45.0
1607204023.5307024,45,45.0
1607204032.774521,47,108.0
1607204125.6532102,53,44.0
1607204129.3902078,54,66.0
1607204131.624209,55,41.0
1607204137.3025324,56,103.0
1607204139.2172818,57,35.0
1607204157.894079,65,45.0
1607204165.305581,68,38.0
1607204172.0790482,71,45.0
1607204173.8260407,72,32.0
1607204248.3111985,73,58.0
1607204250.832935,74,44.0
1607204271.7329419,79,200.0
1607204312.784632,87,33.0
1607204314.4971583,88,31.0
1607204331.3783054,94,92.0
1607204355.5037537,102,33.0
1607204361.0559855,105,32.0
1607204362.9102614,106,34.0
1607204404.8655167,113,32.0
1607204410.972213,116,34.0
1607204415.3398678,118,34.0
1607204435.8242733,126,32.0
1607204458.5656261,129,32.0
1607204460.4123328,130,34.0
1607204477.7806423,139,48.0
1607204481.3136535,141,31.0
1607204482.999626,142,31.0
1607204484.7520661,143,32.0
1607204519.024619,150,54.0
1607204537.4577558,155,52.0
1607204541.4376833,157,35.0
1607204543.2376838,158,33.0
1607204552.3448534,162,37.0
1607204562.7154691,167,34.0
1607204567.2030253,168,82.0
1607204597.873109,171,200.0
1607204614.847045,177,34.0
1607204616.801045,178,35.0
1607204622.2714047,180,31.0
1607204627.957426,183,38.0
1607204637.281824,185,124.0
1607204639.562825,186,42.0
1607204655.9805975,188,38.0
1607204660.0215356,190,43.0
1607204661.9590366,191,35.0
1607204674.286543,198,32.0
1607204690.0532596,206,43.0
1607204691.8422165,207,32.0
1607204693.5954738,208,32.0
1607204702.6521025,212,47.0
1607204732.665466,222,31.0
1607204735.363639,223,49.0
1607204739.9327214,225,41.0
1607204747.1336126,229,32.0
1607204753.4122267,232,33.0
1607204755.2252078,233,33.0
1607204757.0977209,234,34.0
1607204763.3739429,237,32.0
1607204797.0751145,249,31.0
1607204807.3388596,255,31.0
1607204812.5028849,258,32.0
1607204816.145805,260,31.0
1607204817.770805,261,30.0
1607204821.3967543,263,32.0
1607204828.3248837,267,30.0
1607204835.6705408,271,33.0
1607204839.0111904,273,30.0
1607204860.1506703,278,59.0
1607204886.9833596,292,50.0
1607204896.016342,297,32.0
1607204898.103757,298,38.0
1607204905.0481288,302,32.0
1607204918.4529111,303,31.0
1607204925.62633,307,32.0
1607204927.6511083,308,37.0
1607204931.534595,310,35.0
1607204936.8755312,313,33.0
1607204947.3351145,318,38.0
1607204950.5243332,319,58.0
1607204952.212333,320,31.0
1607204961.1953669,325,34.0
1607204962.8857746,326,31.0
1607204964.6721156,327,32.0
1607204969.8354871,330,32.0
1607204997.6880922,339,32.0
1607205001.2923658,341,31.0
1607205013.229405,347,34.0
1607205025.8064668,353,47.0
1607205027.4777381,354,30.0
1607205037.969651,360,35.0
1607205057.1881647,363,31.0
1607205064.1907573,367,30.0
1607205070.884958,371,30.0
1607205074.5179577,373,31.0
1607205081.4831831,377,30.0
1607205083.500295,378,37.0
1607205085.5372953,379,37.0
1607205089.4373095,381,32.0
1607205098.0458176,386,31.0
1607205106.4810135,391,30.0
1607205108.266759,392,32.0
1607205120.4501717,393,31.0
1607205146.5062037,408,31.0
1607205158.4396706,415,29.0
1607205168.7656286,421,32.0
1607205170.8976288,422,39.0
1607205184.6803555,424,30.0
1607205188.1053472,426,32.0
1607205194.7902272,430,31.0
1607205210.4189668,439,30.0
1607205213.9856973,441,31.0
1607205215.626697,442,30.0
1607205220.6961956,445,31.0
1607205231.6114025,451,34.0
1607205256.3285604,459,29.0
1607205258.1937623,460,34.0
1607205263.4974685,463,33.0
1607205265.8084676,464,42.0
1607205280.7356508,473,31.0
1607205282.4477692,474,31.0
1607205301.071013,485,30.0
1607205316.5639565,488,32.0
1607205318.1429763,489,29.0
1607205321.627467,491,30.0
1607205325.0244668,493,33.0
1607205348.0495238,507,35.0
1607205356.5715747,512,31.0
1607205360.119374,514,32.0
1607205365.2213974,517,31.0
1607205368.6076932,519,33.0
1607205387.6965718,524,30.0
1607205389.3835726,525,31.0
1607205399.317371,531,30.0
1607205402.692685,533,31.0
1607205404.272465,534,29.0
1607205407.608429,536,31.0
1607205409.263083,537,30.0
1607205415.475769,540,53.0
1607205419.078385,542,30.0
1607205428.0887601,547,34.0
1607205429.6107593,548,28.0
1607205456.6333218,557,36.0
1607205459.9743764,559,30.0
1607205467.584284,563,32.0
1607205469.6122532,564,37.0
1607205471.2082794,565,29.0
1607205478.408388,569,32.0
1607205484.9205468,573,30.0
1607205487.2119675,574,42.0
1607205492.3575172,577,30.0
1607205495.7255917,579,31.0
1607205497.5215938,580,33.0
1607205499.2605567,581,32.0
1607205500.897591,582,29.0
1607205513.7997613,583,30.0
1607205515.4297118,584,30.0
1607205518.8993719,586,31.0
1607205520.5908742,587,31.0
1607205529.0043707,592,30.0
1607205530.5900028,593,29.0
1607205537.52235,597,28.0
1607205542.467207,600,29.0
1607205545.8222837,602,29.0
1607205559.4265182,608,97.0
1607205562.7595513,610,30.0
1607205583.5415332,615,30.0
1607205590.5284145,619,36.0
1607205592.284921,620,32.0
1607205595.9985776,622,33.0
1607205616.8913095,634,31.0
1607205628.2925935,641,30.0
1607205629.921596,642,30.0
1607205633.089796,644,29.0
1607205634.6626573,645,29.0
1607205648.021668,646,46.0
1607205649.7296336,647,31.0
1607205653.0669773,649,30.0
1607205658.146561,652,31.0
1607205664.7809756,656,30.0
1607205666.6159759,657,33.0
1607205673.2553484,661,28.0
1607205678.4552634,664,32.0
1607205685.1304646,668,31.0
1607205690.017787,671,30.0
1607205691.6820664,672,30.0
1607205693.3200665,673,30.0
1607205694.9604764,674,30.0
1607205696.6985254,675,31.0
1607205700.0254905,677,31.0
1607205713.2877657,678,31.0
1607205714.9287639,679,30.0
1607205720.353098,682,30.0
1607205721.9936152,683,30.0
1607205723.6739829,684,31.0
1607205727.191069,686,30.0
1607205730.5530064,688,30.0
1607205732.1548254,689,29.0
1607205743.3996654,696,30.0
