Wall time,Step,Value
1607225327.0228925,5,200.0
1607225337.9009182,6,200.0
1607225461.3902977,11,156.0
1607225494.1171775,14,200.0
1607225576.165747,15,200.0
1607225609.000295,18,200.0
1607225619.9634786,19,200.0
1607225701.6192563,20,200.0
1607225730.7040203,24,64.0
1607225957.159758,36,58.0
1607225970.5186343,40,114.0
1607225976.9509218,42,67.0
1607225985.595622,44,122.0
1607225991.8017485,45,113.0
1607226071.4766953,47,125.0
1607226117.1530242,53,31.0
1607226200.0806155,54,183.0
1607226205.724854,55,102.0
1607226208.3775938,56,48.0
1607226210.2286384,57,34.0
1607226237.1080937,65,43.0
1607226321.165612,67,37.0
1607226332.0731943,68,200.0
1607226337.9617522,71,33.0
1607226339.7607536,72,33.0
1607226341.668813,73,35.0
1607226344.1777909,74,46.0
1607226355.5592432,79,37.0
1607226366.8377233,84,34.0
1607226409.2560713,87,55.0
1607226411.4483774,88,40.0
1607226423.5256448,94,33.0
1607226438.3624542,102,31.0
1607226444.6535015,105,35.0
1607226446.435595,106,33.0
1607226459.8638484,113,31.0
1607226477.4006517,116,33.0
1607226482.3435373,118,46.0
1607226495.9320714,125,32.0
1607226497.7180364,126,33.0
1607226502.995793,129,35.0
1607226505.0223556,130,37.0
1607226526.3709757,139,31.0
1607226541.5249348,141,32.0
1607226543.1988835,142,31.0
1607226545.0503266,143,34.0
1607226561.2418292,150,40.0
1607226570.530107,155,37.0
1607226574.2013764,157,31.0
1607226576.8964508,158,49.0
1607226586.591909,162,45.0
1607226621.226649,167,42.0
1607226623.1956842,168,36.0
1607226628.8627927,171,35.0
1607226640.2218575,177,32.0
1607226642.4373417,178,41.0
1607226646.3202004,180,35.0
1607226651.793322,183,34.0
1607226655.4923904,185,34.0
1607226657.317553,186,33.0
1607226661.4219453,188,34.0
1607226665.0167925,190,34.0
1607226666.8278728,191,33.0
1607226692.0852005,198,34.0
1607226707.0141523,206,35.0
1607226708.8678474,207,33.0
1607226710.6087427,208,32.0
1607226717.8109343,212,33.0
1607226736.1337376,222,33.0
1607226738.081739,223,35.0
1607226753.694464,225,35.0
1607226760.857242,229,31.0
1607226766.2928803,232,34.0
1607226768.2450643,233,36.0
1607226770.003068,234,32.0
1607226775.3191252,237,32.0
1607226797.3478558,249,32.0
1607226819.973396,255,32.0
1607226825.3692734,258,33.0
1607226829.0122774,260,34.0
1607226830.8742912,261,34.0
1607226834.5711555,263,35.0
1607226841.705941,267,33.0
1607226849.0719225,271,33.0
1607226852.7372084,273,33.0
1607226861.9975245,278,33.0
1607226899.227368,292,33.0
1607226908.120526,297,33.0
1607226910.050528,298,35.0
1607226917.5126367,302,32.0
1607226919.1932075,303,31.0
1607226926.3812587,307,30.0
1607226928.017987,308,30.0
1607226931.6369896,310,33.0
1607226936.761997,313,34.0
1607226958.3847797,318,32.0
1607226960.5147622,319,39.0
1607226962.3868048,320,34.0
1607226971.5485668,325,35.0
1607226973.419758,326,34.0
1607226975.16182,327,32.0
1607226980.5682867,330,33.0
1607226996.9905975,339,32.0
